- 0, -0.812719, -1.883136, -0.602802
- 1, -0.959316, 0.876810, 0.223924
- 2, 0.425296, 2.748386, -0.212565
- 3, 3.029748, 0.848911, -0.781242
- 4, 1.879600, -1.911980, 0.924123
- 5, 1.054058, -0.267523, 0.996771
- 6, -3.844674, -1.647126, 0.965373
- 7, -1.806723, 2.521772, 0.000000
- 8, -3.023742, -1.574474, -0.647938
- 9, -2.345322, -3.593483, -0.801168
- 10, -0.678288, -3.607738, 0.041220
- 11, 1.233946, -3.066869, 0.062352
- 12, 3.236955, -2.813987, -0.129934
- 13, 4.406269, -1.042893, 0.917003
- 14, 4.265908, -0.096313, 0.000000
- 15, 2.737810, 2.779794, 0.998618
- 16, 0.184660, 3.717248, 0.935038
- 17, -3.093996, 4.029398, 0.873881
- 18, -4.464504, 0.784074, -0.601206
